"from","to","weightRelative"
1046726261,1167645442,0.782352941176471
1047426385,5813053866,0.696
1077459090,1292847181,0.804195804195804
1077459077,1198326456,0.727848101265823
1169898618,5813050767,0.741007194244604
1140240894,1261086734,0.708661417322835
5813013678,1260400286,0.637795275590551
1170857299,1513674176,0.663934426229508
1171910380,1261423444,0.718181818181818
1046735096,1291435776,0.868131868131868
1047421689,5812979604,0.784090909090909
5812987236,5812979222,0.563025210084034
1200610109,1261773304,0.775510204081633
1200942353,1262114188,0.714285714285714
1015700298,1261427765,0.627118644067797
1077752379,1167632513,0.652173913043478
5813016915,1167295916,0.675925925925926
1140534972,1261086756,0.692307692307692
5813069696,1261000309,0.660550458715596
1232979445,1167895489,0.620689655172414
954679716,1260754053,0.747252747252747
1140508414,1168241257,0.606837606837607
1077778869,1261419142,0.679611650485437
1171207096,1229965474,0.593220338983051
1201624330,1198693217,0.603448275862069
1140517447,1136861363,0.704081632653061
1298804357,1261436305,0.657142857142857
1140534972,1261760187,0.479166666666667
1077752379,1167304403,0.63302752293578
1167563540,1167896065,0.619047619047619
1015385741,1292121433,0.571428571428571
5812987236,1167300194,0.584905660377358
1140189329,1167645658,0.440789473684211
1047421689,1230712956,0.727272727272727
1201615899,1230742552,0.905405405405405
1140872223,5813020585,0.942857142857143
1077434447,1261423370,0.802469135802469
1201961255,1105834722,0.67032967032967
1077783627,1292466818,0.627450980392157
5813013678,1199289203,0.64
1202241942,1167891559,0.503937007874016
1233281209,1167300154,0.463768115942029
1171613107,1137210821,0.653061224489796
5813065506,1167904437,0.594339622641509
1201615899,1231066662,0.849315068493151
5812986876,1230324385,0.75609756097561
1232983358,1324145475,0.563636363636364
1170865953,1230738247,0.677777777777778
1105839176,1106180107,0.594594594594595
1109158650,1291366237,0.383561643835616
5812986870,1322811240,0.666666666666667
1141195327,1167563121,0.652173913043478
1169576040,1292807819,0.8125
1201615899,1230742517,0.608247422680412
1078447660,1229369776,0.567307692307692
1078443080,5813047647,0.508928571428571
1077783627,1261432168,0.483333333333333
5812986547,1261768859,0.479338842975207
1109163019,1231066732,0.602272727272727
1109163019,5813020453,0.674418604651163
5813014029,5813053983,0.865671641791045
1077778701,1261756007,0.4296875
5812986547,1261768880,0.408759124087591
1200273581,1229288307,0.933333333333333
1200610109,1261423507,0.4296875
1140862679,1199625952,0.47008547008547
1108152508,1261432158,0.54
1170865953,1230738237,0.574468085106383
1109478369,1137219365,0.522727272727273
1108459071,5812984024,0.56043956043956
1200942353,1291780675,0.815384615384615
5813069696,1198931241,0.417322834645669
1171613286,1167567702,0.375886524822695
1078443080,5813020409,0.418032786885246
1139515440,1260327246,0.56043956043956
1200605580,1322474586,0.63768115942029
1047421689,1230712894,0.623188405797101
5812979232,5813048896,0.463636363636364
5812986870,5813020568,0.416666666666667
1108459071,1292794996,0.810344827586207
1139524692,1261427885,0.5
1110173824,1168923315,0.556818181818182
1171902272,1198943369,0.710144927536232
1108485790,1293136062,0.466019417475728
1108485790,1292803650,0.615384615384615
1077778869,1261423454,0.342857142857143
1229633648,1198257581,0.34375
1169576040,1262105575,0.545454545454545
1140240894,1261756007,0.3671875
1140189329,1292816565,0.429906542056075
1200290859,1198257581,0.359375
1108485790,1262114202,0.459183673469388
1139516013,1261768913,0.796296296296296
1140862679,1230319275,0.357142857142857
1109158650,1323156554,0.300751879699248
1110164795,1168249921,0.435643564356436
1171954356,5813077556,0.458333333333333
1108166986,1262105637,0.607142857142857
1141213129,5812979230,0.803921568627451
1015385741,1261423454,0.3
1171910380,1261423507,0.328125
1108485790,1292816565,0.373831775700935
1046735096,5813020568,0.325
1110868515,5813053988,0.466666666666667
1233281209,1198931241,0.299212598425197
1077778701,1261436508,0.372340425531915
1139515440,1323156554,0.24812030075188
5812986547,1291366237,0.219178082191781
1139516013,1262105630,0.555555555555556
1108152508,1261773414,0.276785714285714
1109163019,1230738237,0.329787234042553
1108166986,1355810793,0.191780821917808
1139524692,1261773414,0.267857142857143
5813014029,1199625952,0.256410256410256
1140240894,1261436508,0.308510638297872
1110868515,5813020455,0.5
1141195327,1167567702,0.205673758865248
1201624330,1167300154,0.202898550724638
1108152508,1261423534,0.27
1170865953,1230742517,0.278350515463918
1141213129,1230319275,0.198412698412698
1169576040,1355810793,0.315068493150685
1109163019,1230712894,0.304347826086957
1108485790,1167645658,0.157894736842105
1200942353,5812984024,0.263736263736264
1140240894,1262114202,0.244897959183673
5813013678,1230319275,0.19047619047619
1139516013,1262114112,0.442307692307692
1015385741,1261423534,0.23
1046735096,1322811240,0.255555555555556
1108166986,1262105575,0.168831168831169
1077778869,1261760187,0.152777777777778
1140517447,5813020409,0.180327868852459
1015700298,1261760187,0.145833333333333
5813016915,5812979222,0.176470588235294
1108459071,1261773286,0.256410256410256
954679716,1260400286,0.15748031496063
1140240894,1293136062,0.184466019417476
1229633648,5813077556,0.15625
1169576040,1262101350,0.470588235294118
1046735096,1324430237,0.5
1229633648,1167567702,0.120567375886525
1108166986,1261760414,0.104166666666667
1139516013,1261773286,0.205128205128205
5812986547,1323156554,0.120300751879699
1108459071,1262105637,0.267857142857143
1200942353,1262114112,0.288461538461538
1015385741,1261427765,0.127118644067797
1108152508,1261432168,0.125
1047421689,1231066732,0.125
1109163019,1230712956,0.147727272727273
1108485790,1355810793,0.164383561643836
1200942353,1261773286,0.153846153846154
1109158650,1261768880,0.0875912408759124
1139524692,1261768880,0.0875912408759124
1200273581,1260327246,0.131868131868132
1232979445,1167896065,0.114285714285714
1169576040,1261760414,0.208333333333333
1140189329,1262114202,0.112244897959184
1077778701,1167645658,0.0723684210526316
1046735096,5812983734,0.423076923076923
1200942353,1262105630,0.185185185185185
1109163019,1230738247,0.111111111111111
1201615899,1230738247,0.111111111111111
1108166986,1262101350,0.264705882352941
1108485790,1261760414,0.1875
1171910380,1261436508,0.0957446808510638
1200610109,1261436305,0.0857142857142857
1108152508,1261768859,0.0743801652892562
1170865953,5813020453,0.104651162790698
5813016915,1167300194,0.0849056603773585
5813065506,5813048896,0.0818181818181818
1108459071,1261760414,0.145833333333333
1015700298,1292121433,0.0672268907563025
5812986547,1261773414,0.0535714285714286
1170865953,1231066732,0.0909090909090909
1108152508,1261427885,0.074468085106383
1298804357,1167645658,0.0394736842105263
1077783627,1261419142,0.058252427184466
1047421689,5813020453,0.0697674418604651
1141213129,1199625952,0.0512820512820513
1140189329,1292803650,0.0641025641025641
1140189329,1261086756,0.0480769230769231
1298804357,1261086734,0.0393700787401575
1139524692,1261768859,0.0413223140495868
1171954356,1229369776,0.0480769230769231
1140508414,5813048896,0.0454545454545455
1077459090,1293136062,0.0388349514563107
1108152508,1261423454,0.0285714285714286
1109158650,1260327246,0.043956043956044
5813069696,5813020568,0.0333333333333333
1110164795,5813048896,0.0363636363636364
1171613107,1137219365,0.0454545454545455
1171613107,1168249921,0.0396039603960396
1167563540,1167895489,0.0344827586206897
